,mean_score,median_score,response_count,cluster,theme,topic
How important do you believe each of the following initiatives is for enhancing students' non-academic and co-curricular engagement at Augustin College? - More events and opportunities that foster a sense of community,2.2525252525252526,2.0,99,4,Student Outcomes,important believe following initiatives enhancing students
"How important should each of the following ideas be in shaping the future mission of Augustin College? - Upholding values such as service, justice, and reflection",2.2577319587628866,2.0,97,5,Administration/Other,important following ideas shaping future mission
How important are the following enhancements to Augustin College student services? - More streamlined and timely communication from Augustin College offices,2.2653061224489797,2.0,98,8,Student Outcomes,important following enhancements augustin college student
How important is a closer integration of Veritus Imperial University services within Augustin College? -  Student Wellness Center,2.28125,2.0,96,3,Administration/Other,important closer integration veritus imperial university
How important are the following aspects for promoting Augustin College to future students?* - Accelerated or modular degree completion pathways,2.323809523809524,2.0,105,8,Student Outcomes,important following aspects promoting augustin college
"How important are the following initiatives for building academic community at Augustin College? - Events that bring students and faculty together (e.g. speaker series, brown bag lunches, etc.)",2.3366336633663365,2.0,101,9,Community & Collaboration,important following initiatives building academic community
How important are the following aspects to the future learning experience at Augustin College? - In-person learning opportunities,2.377551020408163,2.0,98,1,Teaching Experience,important following aspects future learning experience
How important are the following aspects to the future learning experience at Augustin College? - Online synchronous learning opportunities (live online classes),2.3979591836734695,2.0,98,1,Teaching Experience,important following aspects future learning experience
How important is a closer integration of Veritus Imperial University services within Augustin College? - Graduate Student Life Office,2.4526315789473685,2.0,95,3,Administration/Other,important closer integration veritus imperial university
How important is a closer integration of Veritus Imperial University services within Augustin College? - International Students Office,2.473684210526316,2.0,95,3,Administration/Other,important closer integration veritus imperial university
How important are the following opportunities for ensuring academic accessibility and inclusion at Augustin College? - Faculty trained in universal course design,2.4752475247524752,2.0,101,6,Teaching Experience,important following opportunities ensuring academic accessibility
How important are the following aspects of faculty mentoring to the academic experience at Augustin College? - Structured mentorship programs,2.504950495049505,2.0,101,1,Teaching Experience,important following aspects faculty mentoring academic
Which do you believe are most important to emphasize in order to positively influence prospective students to apply to Augustin College? Please rank the following factors by dragging the selection up or down in your preferred rank order where number 1 is the most important factor to emphasize and 4 is the lowest thing to emphasize. - Augustin College's unique identity and reputation,2.515463917525773,2.0,97,0,Administration/Other,believe important emphasize order positively influence
"As Augustin College expands its academic offerings, how important are the following priorities? - Research-focused courses aligned with industry trends",2.5445544554455446,3.0,101,2,Student Outcomes,augustin college expands academic offerings important
How important do you believe each of the following initiatives is for enhancing students' non-academic and co-curricular engagement at Augustin College? - Additional leadership and volunteer opportunities within Augustin College,2.55,2.0,100,4,Student Outcomes,important believe following initiatives enhancing students
How important is a closer integration of Veritus Imperial University services within Augustin College? - Undergrad Student Life Office,2.574468085106383,2.5,94,3,Administration/Other,important closer integration veritus imperial university
How important are the following initiatives for building academic community at Augustin College? - Peer mentoring,2.64,3.0,100,9,Community & Collaboration,important following initiatives building academic community
Which do you believe are most important to emphasize in order to positively influence prospective students to apply to Augustin College? Please rank the following factors by dragging the selection up or down in your preferred rank order where number 1 is the most important factor to emphasize and 4 is the lowest thing to emphasize. - Reputation and credibility of individual programs,2.731958762886598,3.0,97,0,Administration/Other,believe important emphasize order positively influence
How important are the following initiatives for building academic community at Augustin College? - Study groups,2.792079207920792,3.0,101,9,Community & Collaboration,important following initiatives building academic community
How important are the following aspects of faculty mentoring to the academic experience at Augustin College? - Access to faculty research opportunities outside of class,2.792079207920792,3.0,101,1,Teaching Experience,important following aspects faculty mentoring academic
How important do you believe each of the following initiatives is for enhancing students' non-academic and co-curricular engagement at Augustin College? - More spaces (common areas for eating or studying) to support personal development beyond coursework,2.806122448979592,3.0,98,4,Student Outcomes,important believe following initiatives enhancing students
How important is a closer integration of Veritus Imperial University services within Augustin College? -  Gym & Recreation Center,2.8854166666666665,3.0,96,3,Administration/Other,important closer integration veritus imperial university
How important do you believe each of the following initiatives is for enhancing students' non-academic and co-curricular engagement at Augustin College? - More community service opportunties,3.0,3.0,99,4,Student Outcomes,important believe following initiatives enhancing students
What should Augustin College actively seek to enroll more of in the future? Please rank the following options by dragging the selection up or down in your preferred rank order where number 1 is the most important option to seek more of and 7 is the lowest. - Adult learners returning to college after time away,3.0095238095238095,3.0,105,7,Administration/Other,augustin college actively seek enroll future
Which do you believe are most important to emphasize in order to positively influence prospective students to apply to Augustin College? Please rank the following factors by dragging the selection up or down in your preferred rank order where number 1 is the most important factor to emphasize and 4 is the lowest thing to emphasize. - Academic rigor and challenge of the curriculum,3.0927835051546393,3.0,97,0,Administration/Other,believe important emphasize order positively influence
How important is a closer integration of Veritus Imperial University services within Augustin College? -  Faith Ministry,3.126315789473684,3.0,95,3,Administration/Other,important closer integration veritus imperial university
How important are the following aspects to the future learning experience at Augustin College? - Daytime course offerings,3.1728395061728394,3.0,81,1,Teaching Experience,important following aspects future learning experience
How important is a closer integration of Veritus Imperial University services within Augustin College? - Dining Hall,3.3473684210526318,3.0,95,3,Administration/Other,important closer integration veritus imperial university
How important are the following initiatives for building academic community at Augustin College? - On campus housing options,3.4591836734693877,3.5,98,9,Community & Collaboration,important following initiatives building academic community
What should Augustin College actively seek to enroll more of in the future? Please rank the following options by dragging the selection up or down in your preferred rank order where number 1 is the most important option to seek more of and 7 is the lowest. - Career changers pursuing graduate credentials,3.7142857142857144,3.0,105,7,Administration/Other,augustin college actively seek enroll future
What should Augustin College actively seek to enroll more of in the future? Please rank the following options by dragging the selection up or down in your preferred rank order where number 1 is the most important option to seek more of and 7 is the lowest. - First-generation college students,4.123809523809523,4.0,105,7,Administration/Other,augustin college actively seek enroll future
What should Augustin College actively seek to enroll more of in the future? Please rank the following options by dragging the selection up or down in your preferred rank order where number 1 is the most important option to seek more of and 7 is the lowest. - Students from underrepresented or historically marginalized backgrounds,4.447619047619048,5.0,105,7,Administration/Other,augustin college actively seek enroll future
What should Augustin College actively seek to enroll more of in the future? Please rank the following options by dragging the selection up or down in your preferred rank order where number 1 is the most important option to seek more of and 7 is the lowest. - Recent high school graduates looking for flexible pathways,4.685714285714286,5.0,105,7,Administration/Other,augustin college actively seek enroll future
What should Augustin College actively seek to enroll more of in the future? Please rank the following options by dragging the selection up or down in your preferred rank order where number 1 is the most important option to seek more of and 7 is the lowest. - International students,5.904761904761905,7.0,105,7,Administration/Other,augustin college actively seek enroll future
